id,text,label
4472160606991381,JensenAckles超话#DanneelAckles##情人节快乐#Jensen撒狗粮！！知道了知道了……蛋妞是你的，永远是你的！,情人节快乐
4472265976276643,#李汶翰线上音乐节##李汶翰#你每一句漫不经心的话，都是我始料未及的欢愉。我要全部当真，我要一一回应。情人节快乐！@UNINE_李汶翰BazaarV的秒拍视频,情人节快乐
4471997533254286,情人节快乐！喔～对不起我没有资格过节…但我的猫他………却………算了算了～默默的承受了太多曹曦月的微博视频,情人节快乐
4472265800418439,季芹超话王仁甫超话轉芹仁粉專與芹姐IG，芹仁節當然得閃一下，但近期都很有默契的讓孟孟先閃完祝福大家情人節快樂的同時，也要祈禱大家能共同渡過難關🙏健康、平安最重要！,情人节快乐
4472157868005376,美国时间情人节，宠女狂魔詹姆斯晒出和Zhuri的合照：“情人节快乐，我的小公主！爸爸很爱你！”#NBA吐槽大会#,情人节快乐
4472265703707101,#不可辜负的美食#昨天一天做了25个蛋糕还拒了N个幸亏小伙伴来帮忙真的是突破极限忙到昏天暗地祝大家昨天情人节快乐啦今天补发一个。银川·原麦烘焙,情人节快乐
4471950925448041,肖骁超话#情人节快乐##性敢中环#【性敢中环|第一季1～3集|CUT1】@肖骁Mix主演港剧《性敢中环》，星厨Max，暖力爆棚！情不知所起，一往而深。同名电影#热血姐妹团#部分【前情回顾】祝，情人节快乐！（未完待续～）肖少奶奶的后宫的微博视频,情人节快乐
4472264911666190,清一下之前的库存[点亮橙色]祝大家昨天情人节快乐,情人节快乐
4472264647141617,🎻告白之夜2.14情人节快乐等待大猪蹄子上线深圳LMJ子木梳的微博视频,情人节快乐
4471944034482816,VLOG2男朋友的生日小游戏小陈紧张到几乎全程普通话不标准快来跟我一起笑话他🤪可能我是史上男友生日时最邋遢的女朋友了不化妆穿睡衣还很嘚瑟哈哈哈希望大家都开心幸福情人节快乐❤️#naomisdaily#闹闹闹米的微博视频,情人节快乐
4472157868005376,美国时间情人节，宠女狂魔詹姆斯晒出和Zhuri的合照：“情人节快乐，我的小公主！爸爸很爱你！”#NBA吐槽大会#,情人节快乐
4472265703707101,#不可辜负的美食#昨天一天做了25个蛋糕还拒了N个幸亏小伙伴来帮忙真的是突破极限忙到昏天暗地祝大家昨天情人节快乐啦今天补发一个。银川·原麦烘焙,情人节快乐
4471950925448041,肖骁超话#情人节快乐##性敢中环#【性敢中环|第一季1～3集|CUT1】@肖骁Mix主演港剧《性敢中环》，星厨Max，暖力爆棚！情不知所起，一往而深。同名电影#热血姐妹团#部分【前情回顾】祝，情人节快乐！（未完待续～）肖少奶奶的后宫的微博视频,情人节快乐
4471981443428834,情人节快乐！跟大家分享我平时的出门妆容！我心里的斩男妆！千万别让男孩子看到你的血盆大口和法令纹卡住的粉清纯就完事了！#春季斩男妆##vlog##今天穿什么##情人节云约会妆#哪吒QWQ的微博视频,情人节快乐
4472264911666190,清一下之前的库存[点亮橙色]祝大家昨天情人节快乐,情人节快乐
4472264647141617,🎻告白之夜2.14情人节快乐等待大猪蹄子上线深圳LMJ子木梳的微博视频,情人节快乐
4471944034482816,VLOG2男朋友的生日小游戏小陈紧张到几乎全程普通话不标准快来跟我一起笑话他🤪可能我是史上男友生日时最邋遢的女朋友了不化妆穿睡衣还很嘚瑟哈哈哈希望大家都开心幸福情人节快乐❤️#naomisdaily#闹闹闹米的微博视频,情人节快乐
4472019242652933,薛之谦超话①⓪⓪⑥上海talk文字版（空耳听得我快废了...老吃力了，哈喽，唱了这么久才正式跟大家打招呼，可不可以允许我先喝一口水，马上哦，我现在喉咙跟火烧了一样，跟烫伤一样。你们有吃过饭吗？那么多人没吃饭吗？厉害了👍做得出哦，这样骗我哦（字正腔圆：真没吃...本可爱真没骗你......全文,情人节快乐
4472264135453601,【张继科晒跳舞视频自黑不协调网友：我哥憋得够呛】2月14日情人节，张继科在微博上分享了自己跳舞的视频，并且自我调侃有一点不协调。张继科微博中写道：封印多时的舞蹈之魂压不住了，虽然还是有那么一点不协调，但是要敢于挑战，祝大家情人节快乐！有网友在看完这段视频后，留言评论：看出来了，我哥...全文,情人节快乐
4472206392273039,赵磊超话#赵磊一直到黎明#对你的告白，是我最用心准备的发言稿迟到的情人节快乐@R1SE-赵磊,情人节快乐
